Date : 2022-08-01 10:22:10
Directory : /home/hsnt/Documents/Docker/RiDX/core
Total : 842 files,  67334 codes, 2993 comments, 5290 blanks, all 75617 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/list/search/articles/style.less                                                                           | Less               |         29 |          0 |          3 |         32 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/list/search/index.jsx                                                                                     | JavaScript React   |         76 |          1 |         12 |         89 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/list/search/projects/_mock.js                                                                             | JavaScript         |        104 |          0 |          6 |        110 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/list/search/projects/components/AvatarList/index.jsx                                                      | JavaScript React   |         55 |          0 |          7 |         62 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/list/search/projects/components/AvatarList/index.less                                                     | Less               |         44 |          0 |          7 |         51 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/list/search/projects/components/StandardFormRow/index.jsx                                                 | JavaScript React   |         21 |          0 |          3 |         24 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/list/search/projects/components/StandardFormRow/index.less                                                | Less               |         84 |          0 |          5 |         89 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/list/search/projects/components/TagSelect/index.jsx                                                       | JavaScript React   |         98 |          0 |         15 |        113 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/list/search/projects/components/TagSelect/index.less                                                      | Less               |         32 |          0 |          2 |         34 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/list/search/projects/index.jsx                                                                            | JavaScript React   |        150 |          2 |          4 |        156 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/list/search/projects/service.js                                                                           | JavaScript         |          6 |          0 |          1 |          7 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/list/search/projects/style.less                                                                           | Less               |         51 |          0 |          5 |         56 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/list/search/projects/utils/utils.less                                                                     | Less               |         46 |          2 |          3 |         51 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/list/table-list/_mock.js                                                                                  | JavaScript         |        153 |          3 |         31 |        187 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/list/table-list/components/CreateForm.jsx                                                                 | JavaScript React   |         17 |          0 |          3 |         20 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/list/table-list/components/UpdateForm.jsx                                                                 | JavaScript React   |        141 |          0 |          3 |        144 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/list/table-list/index.jsx                                                                                 | JavaScript React   |        278 |         18 |         19 |        315 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/list/table-list/service.js                                                                                | JavaScript         |         29 |          6 |          6 |         41 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/profile/advanced/_mock.js                                                                                 | JavaScript         |         75 |          0 |          3 |         78 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/profile/advanced/index.jsx                                                                                | JavaScript React   |        423 |          0 |         11 |        434 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/profile/advanced/service.js                                                                               | JavaScript         |          4 |          0 |          1 |          5 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/profile/advanced/style.less                                                                               | Less               |         54 |          0 |          7 |         61 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/profile/basic/_mock.js                                                                                    | JavaScript         |         87 |          0 |          3 |         90 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/profile/basic/index.jsx                                                                                   | JavaScript React   |        225 |          0 |         12 |        237 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/profile/basic/service.js                                                                                  | JavaScript         |          4 |          0 |          1 |          5 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/profile/basic/style.less                                                                                  | Less               |          7 |          0 |          2 |          9 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/result/fail/index.jsx                                                                                     | JavaScript React   |         72 |          0 |          1 |         73 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/result/fail/index.less                                                                                    | Less               |         10 |          0 |          2 |         12 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/result/success/index.jsx                                                                                  | JavaScript React   |        131 |          0 |          1 |        132 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/result/success/index.less                                                                                 | Less               |         13 |          0 |          3 |         16 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/_mock.js                                                                             | JavaScript         |        126 |          1 |          5 |        132 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/assessment/index.jsx                                                                 | JavaScript React   |        419 |          4 |         15 |        438 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/attack_graph/CustomFlow.jsx                                                          | JavaScript React   |         26 |          6 |          2 |         34 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/attack_graph/common/IconFont/index.js                                                | JavaScript         |          5 |          0 |          1 |          6 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/attack_graph/components/EditorContextMenu/FlowContextMenu.jsx                        | JavaScript React   |         31 |          0 |          3 |         34 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/attack_graph/components/EditorContextMenu/MenuItem.jsx                               | JavaScript React   |         17 |          0 |          4 |         21 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/attack_graph/components/EditorContextMenu/index.jsx                                  | JavaScript React   |          2 |          0 |          1 |          3 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/attack_graph/components/EditorContextMenu/index.less                                 | Less               |         35 |          0 |          7 |         42 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/attack_graph/components/EditorDetailPanel/DetailForm.jsx                             | JavaScript React   |        189 |         17 |         19 |        225 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/attack_graph/components/EditorDetailPanel/FlowDetailPanel.jsx                        | JavaScript React   |         12 |         12 |          3 |         27 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/attack_graph/components/EditorDetailPanel/index.jsx                                  | JavaScript React   |          2 |          0 |          1 |          3 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/attack_graph/components/EditorDetailPanel/index.less                                 | Less               |          5 |          0 |          2 |          7 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/attack_graph/components/EditorItemPanel/FlowItemPanel.jsx                            | JavaScript React   |         32 |         10 |          3 |         45 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/attack_graph/components/EditorItemPanel/index.jsx                                    | JavaScript React   |          2 |          0 |          1 |          3 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/attack_graph/components/EditorItemPanel/index.less                                   | Less               |         17 |          0 |          3 |         20 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/attack_graph/components/EditorMinimap/index.jsx                                      | JavaScript React   |          8 |          0 |          3 |         11 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/attack_graph/components/EditorToolbar/FlowToolbar.jsx                                | JavaScript React   |         13 |         14 |          3 |         30 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/attack_graph/components/EditorToolbar/ToolbarButton.jsx                              | JavaScript React   |         21 |          0 |          4 |         25 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/attack_graph/components/EditorToolbar/index.jsx                                      | JavaScript React   |          2 |          0 |          0 |          2 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/attack_graph/components/EditorToolbar/index.less                                     | Less               |         34 |          0 |          7 |         41 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/attack_graph/index.jsx                                                               | JavaScript React   |         75 |          4 |          7 |         86 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/attack_graph/index.less                                                              | Less               |         42 |          0 |          8 |         50 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/attack_graph/service.js                                                              | JavaScript         |         11 |          2 |          3 |         16 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/countermeasures/index.css                                                            | CSS                |         21 |          0 |          4 |         25 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/countermeasures/index.jsx                                                            | JavaScript React   |         68 |          0 |          8 |         76 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/index.jsx                                                                            | JavaScript React   |        123 |          0 |         12 |        135 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/index.less                                                                           | Less               |          6 |          1 |          1 |          8 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/service.js                                                                           | JavaScript         |          8 |          2 |          3 |         13 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/vulnerability-setting/components/VulnerabiliesSettingPerAsset.jsx                    | JavaScript React   |         76 |          0 |          8 |         84 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/vulnerability-setting/components/index.css                                           | CSS                |         21 |          0 |          4 |         25 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/vulnerability-setting/index.css                                                      | CSS                |         15 |          0 |          4 |         19 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/$id/vulnerability-setting/index.jsx                                                      | JavaScript React   |        119 |          0 |          4 |        123 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/_mock.js                                                                 | JavaScript         |        126 |          1 |          5 |        132 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/assessment/index.jsx                                                     | JavaScript React   |        489 |         28 |         18 |        535 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/attack_graph/CustomFlow.jsx                                              | JavaScript React   |         26 |          4 |          2 |         32 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/attack_graph/common/IconFont/index.js                                    | JavaScript         |          5 |          0 |          1 |          6 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/attack_graph/components/EditorContextMenu/FlowContextMenu.jsx            | JavaScript React   |         31 |          0 |          3 |         34 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/attack_graph/components/EditorContextMenu/MenuItem.jsx                   | JavaScript React   |         17 |          0 |          4 |         21 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/attack_graph/components/EditorContextMenu/index.jsx                      | JavaScript React   |          2 |          0 |          1 |          3 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/attack_graph/components/EditorContextMenu/index.less                     | Less               |         35 |          0 |          7 |         42 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/attack_graph/components/EditorDetailPanel/DetailForm.jsx                 | JavaScript React   |        188 |         17 |         19 |        224 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/attack_graph/components/EditorDetailPanel/FlowDetailPanel.jsx            | JavaScript React   |         12 |         12 |          3 |         27 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/attack_graph/components/EditorDetailPanel/index.jsx                      | JavaScript React   |          2 |          0 |          1 |          3 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/attack_graph/components/EditorDetailPanel/index.less                     | Less               |          5 |          0 |          2 |          7 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/attack_graph/components/EditorItemPanel/FlowItemPanel.jsx                | JavaScript React   |         32 |         10 |          3 |         45 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/attack_graph/components/EditorItemPanel/index.jsx                        | JavaScript React   |          2 |          0 |          1 |          3 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/attack_graph/components/EditorItemPanel/index.less                       | Less               |         17 |          0 |          3 |         20 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/attack_graph/components/EditorMinimap/index.jsx                          | JavaScript React   |          8 |          0 |          3 |         11 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/attack_graph/components/EditorToolbar/FlowToolbar.jsx                    | JavaScript React   |         21 |          6 |          3 |         30 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/attack_graph/components/EditorToolbar/ToolbarButton.jsx                  | JavaScript React   |         21 |          0 |          4 |         25 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/attack_graph/components/EditorToolbar/index.jsx                          | JavaScript React   |          2 |          0 |          0 |          2 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/attack_graph/components/EditorToolbar/index.less                         | Less               |         34 |          0 |          7 |         41 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/attack_graph/index.jsx                                                   | JavaScript React   |        148 |          3 |         11 |        162 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/attack_graph/index.less                                                  | Less               |         42 |          0 |          8 |         50 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/attack_graph/service.js                                                  | JavaScript         |         11 |          2 |          3 |         16 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/countermeasures/index.css                                                | CSS                |         21 |          0 |          4 |         25 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/countermeasures/index.jsx                                                | JavaScript React   |        204 |          3 |         15 |        222 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/index.jsx                                                                | JavaScript React   |        165 |          4 |         13 |        182 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/index.less                                                               | Less               |          6 |          1 |          1 |          8 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/service.js                                                               | JavaScript         |        107 |          2 |         15 |        124 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/vulnerability-analysis/components/VulnerabiliesAnalysisPerAsset.jsx      | JavaScript React   |        129 |         35 |         12 |        176 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/vulnerability-analysis/components/index.css                              | CSS                |         15 |          0 |          4 |         19 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/vulnerability-analysis/index.css                                         | CSS                |         15 |          0 |          4 |         19 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/vulnerability-analysis/index.jsx                                         | JavaScript React   |         91 |          0 |          8 |         99 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/vulnerability-setting/components/VulnerabiliesSettingPerAsset.jsx        | JavaScript React   |        266 |          0 |         19 |        285 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/vulnerability-setting/components/index.css                               | CSS                |         21 |          0 |          4 |         25 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/vulnerability-setting/index.css                                          | CSS                |         15 |          0 |          4 |         19 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/assessments/$id/vulnerability-setting/index.jsx                                          | JavaScript React   |        152 |          0 |          8 |        160 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/components/ImportDeploymentScenario.jsx                                                  | JavaScript React   |        232 |          0 |         11 |        243 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/components/index.less                                                                    | Less               |         44 |          0 |          9 |         53 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/index.jsx                                                                                | JavaScript React   |        139 |          2 |          4 |        145 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/index.less                                                                               | Less               |          4 |          0 |          1 |          5 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/service.js                                                                               | JavaScript         |         29 |          2 |          6 |         37 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-assessments/style.css                                                                                | CSS                |          0 |          9 |          0 |          9 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/components/ImportDeploymentScenario.jsx                                                   | JavaScript React   |        232 |          0 |         11 |        243 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/components/index.less                                                                     | Less               |         44 |          0 |          9 |         53 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/index.jsx                                                                                 | JavaScript React   |        146 |         10 |          6 |        162 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/index.less                                                                                | Less               |          4 |          0 |          1 |          5 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/_mock.js                                                                   | JavaScript         |        126 |          1 |          5 |        132 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/detect-threat/index.jsx                                                    | JavaScript React   |         58 |          0 |          9 |         67 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/index.jsx                                                                  | JavaScript React   |        118 |          0 |         10 |        128 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/index.less                                                                 | Less               |          6 |          1 |          1 |          8 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/monitor/index.jsx                                                          | JavaScript React   |        401 |          2 |         30 |        433 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/scan-vulnerability/$id/index.jsx                                           | JavaScript React   |        100 |         10 |          7 |        117 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/service.js                                                                 | JavaScript         |        124 |          2 |         19 |        145 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/_mock.js                                                            | JavaScript         |        126 |          1 |          5 |        132 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/assessment/index.jsx                                                | JavaScript React   |        467 |         28 |         18 |        513 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/attack_graph/CustomFlow.jsx                                         | JavaScript React   |         26 |          4 |          2 |         32 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/attack_graph/common/IconFont/index.js                               | JavaScript         |          5 |          0 |          1 |          6 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/attack_graph/components/EditorContextMenu/FlowContextMenu.jsx       | JavaScript React   |         31 |          0 |          3 |         34 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/attack_graph/components/EditorContextMenu/MenuItem.jsx              | JavaScript React   |         17 |          0 |          4 |         21 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/attack_graph/components/EditorContextMenu/index.jsx                 | JavaScript React   |          2 |          0 |          1 |          3 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/attack_graph/components/EditorContextMenu/index.less                | Less               |         35 |          0 |          7 |         42 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/attack_graph/components/EditorDetailPanel/DetailForm.jsx            | JavaScript React   |        188 |         17 |         19 |        224 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/attack_graph/components/EditorDetailPanel/FlowDetailPanel.jsx       | JavaScript React   |         12 |         12 |          3 |         27 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/attack_graph/components/EditorDetailPanel/index.jsx                 | JavaScript React   |          2 |          0 |          1 |          3 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/attack_graph/components/EditorDetailPanel/index.less                | Less               |          5 |          0 |          2 |          7 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/attack_graph/components/EditorItemPanel/FlowItemPanel.jsx           | JavaScript React   |         32 |         10 |          3 |         45 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/attack_graph/components/EditorItemPanel/index.jsx                   | JavaScript React   |          2 |          0 |          1 |          3 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/attack_graph/components/EditorItemPanel/index.less                  | Less               |         17 |          0 |          3 |         20 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/attack_graph/components/EditorMinimap/index.jsx                     | JavaScript React   |          8 |          0 |          3 |         11 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/attack_graph/components/EditorToolbar/FlowToolbar.jsx               | JavaScript React   |         21 |          6 |          3 |         30 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/attack_graph/components/EditorToolbar/ToolbarButton.jsx             | JavaScript React   |         21 |          0 |          4 |         25 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/attack_graph/components/EditorToolbar/index.jsx                     | JavaScript React   |          2 |          0 |          0 |          2 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/attack_graph/components/EditorToolbar/index.less                    | Less               |         34 |          0 |          7 |         41 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/attack_graph/index.jsx                                              | JavaScript React   |        144 |          3 |         10 |        157 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/attack_graph/index.less                                             | Less               |         42 |          0 |          8 |         50 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/attack_graph/service.js                                             | JavaScript         |         11 |          2 |          3 |         16 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/countermeasures/index.css                                           | CSS                |         21 |          0 |          4 |         25 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/countermeasures/index.jsx                                           | JavaScript React   |        204 |          3 |         15 |        222 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/index.jsx                                                           | JavaScript React   |        150 |          4 |         13 |        167 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/index.less                                                          | Less               |          6 |          1 |          1 |          8 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/service.js                                                          | JavaScript         |        107 |          2 |         15 |        124 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/vulnerability-analysis/components/VulnerabiliesAnalysisPerAsset.jsx | JavaScript React   |        129 |         35 |         12 |        176 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/vulnerability-analysis/components/index.css                         | CSS                |         15 |          0 |          4 |         19 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/vulnerability-analysis/index.css                                    | CSS                |         15 |          0 |          4 |         19 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/vulnerability-analysis/index.jsx                                    | JavaScript React   |         91 |          0 |          8 |         99 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/vulnerability-setting/components/VulnerabiliesSettingPerAsset.jsx   | JavaScript React   |        232 |         35 |         19 |        286 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/vulnerability-setting/components/index.css                          | CSS                |         21 |          0 |          4 |         25 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/vulnerability-setting/index.css                                     | CSS                |         15 |          0 |          4 |         19 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/monitoring/$id/update/vulnerability-setting/index.jsx                                     | JavaScript React   |         87 |          0 |          8 |         95 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/service.js                                                                                | JavaScript         |         29 |          2 |          6 |         37 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/style.css                                                                                 | CSS                |          0 |          9 |          0 |          9 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/update_attack_graph/_mock.js                                                              | JavaScript         |        126 |          1 |          5 |        132 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/update_attack_graph/assessment/index.jsx                                                  | JavaScript React   |        463 |         24 |         17 |        504 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/update_attack_graph/attack_graph/CustomFlow.jsx                                           | JavaScript React   |         26 |          4 |          2 |         32 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/update_attack_graph/attack_graph/common/IconFont/index.js                                 | JavaScript         |          5 |          0 |          1 |          6 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/update_attack_graph/attack_graph/components/EditorContextMenu/FlowContextMenu.jsx         | JavaScript React   |         31 |          0 |          3 |         34 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/update_attack_graph/attack_graph/components/EditorContextMenu/MenuItem.jsx                | JavaScript React   |         17 |          0 |          4 |         21 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/update_attack_graph/attack_graph/components/EditorContextMenu/index.jsx                   | JavaScript React   |          2 |          0 |          1 |          3 |
| /home/hsnt/Documents/Docker/RiDX/core/web/src/pages/risk-monitoring/update_attack_graph/attack_graph/components/EditorContextMenu/index.less                  | Less               |         35 |          0 |          7 |         42 |
